"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q001-avg-q",0.002,0.002,0,0.002,0
0.01,"Q003-avg-q",0.003,0.003,0,0.003,0
0.01,"Q007-avg-q",0.003,0.003,0,0.003,0
0.01,"Q015-avg-q",0.003,0.003,0,0.003,0
0.05,"Q001-avg-q",0.004,0.004,0,0.004,0
0.05,"Q003-avg-q",0.004,0.004,0,0.004,0
0.05,"Q007-avg-q",0.005,0.005,0,0.005,0
0.05,"Q015-avg-q",0.006,0.006,0,0.006,0
0.1,"Q001-avg-q",0.005,0.005,0,0.005,0
0.1,"Q003-avg-q",0.006,0.006,0,0.006,0
0.1,"Q007-avg-q",0.006,0.006,0,0.006,0
0.1,"Q015-avg-q",0.007,0.007,0,0.007,0
0.2,"Q001-avg-q",0.008,0.008,0,0.008,0
0.2,"Q003-avg-q",0.008,0.008,0,0.008,0
0.2,"Q007-avg-q",0.009,0.009,0,0.009,0
0.2,"Q015-avg-q",0.01,0.01,0,0.01,0
0.5,"Q001-avg-q",0.016,0.016,0,0.016,0
0.5,"Q003-avg-q",0.017,0.017,0,0.017,0
0.5,"Q007-avg-q",0.018,0.018,0,0.018,0
0.5,"Q015-avg-q",0.02,0.02,0,0.02,0
0.8,"Q001-avg-q",0.032,0.032,0,0.032,0
0.8,"Q003-avg-q",0.033,0.033,0,0.033,0
0.8,"Q007-avg-q",0.035,0.035,0,0.035,0
0.8,"Q015-avg-q",0.038,0.038,0,0.038,0
0.9,"Q001-avg-q",0.047,0.047,0,0.047,0
0.9,"Q003-avg-q",0.048,0.048,0,0.048,0
0.9,"Q007-avg-q",0.049,0.049,0,0.049,0
0.9,"Q015-avg-q",0.053,0.053,0,0.053,0
0.95,"Q001-avg-q",0.064,0.064,0,0.064,0
0.95,"Q003-avg-q",0.065,0.065,0,0.065,0
0.95,"Q007-avg-q",0.066,0.066,0,0.066,0
0.95,"Q015-avg-q",0.069,0.069,0,0.069,0
0.99,"Q001-avg-q",0.115,0.115,0,0.115,0
0.99,"Q003-avg-q",0.115,0.115,0,0.115,0
0.99,"Q007-avg-q",0.114,0.114,0,0.114,0
0.99,"Q015-avg-q",0.116,0.116,0,0.116,0
1973,"Q001-avg",0.012,0.012,0,0.012,0
1973,"Q001-pp",0.30952380952381,0.3095,2.38095238099811e-05,0.309511904761905,7.6926035618232e-05
1973,"Q003-avg",0.013,0.013,0,0.013,0
1973,"Q003-pp",0.30952380952381,0.3095,2.38095238099811e-05,0.309511904761905,7.6926035618232e-05
1973,"Q007-avg",0.013,0.013,0,0.013,0
1973,"Q007-pp",0.285714285714286,0.2857,1.42857142859665e-05,0.285707142857143,5.00012500321335e-05
1973,"Q015-avg",0.015,0.015,0,0.015,0
1973,"Q015-pp",0.285714285714286,0.2619,0.023814285714286,0.273807142857143,0.0869746693449517
1974,"Q001-avg",0.054,0.054,0,0.054,0
1974,"Q001-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1974,"Q003-avg",0.056,0.056,0,0.056,0
1974,"Q003-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1974,"Q007-avg",0.057,0.057,0,0.057,0
1974,"Q007-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1974,"Q015-avg",0.061,0.061,0,0.061,0
1974,"Q015-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1975,"Q001-avg",0.091,0.091,0,0.091,0
1975,"Q001-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1975,"Q003-avg",0.091,0.091,0,0.091,0
1975,"Q003-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1975,"Q007-avg",0.091,0.091,0,0.091,0
1975,"Q007-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1975,"Q015-avg",0.094,0.094,0,0.094,0
1975,"Q015-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1976,"Q001-avg",0.042,0.042,0,0.042,0
1976,"Q001-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1976,"Q003-avg",0.042,0.042,0,0.042,0
1976,"Q003-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1976,"Q007-avg",0.045,0.045,0,0.045,0
1976,"Q007-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1976,"Q015-avg",0.052,0.052,0,0.052,0
1976,"Q015-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1977,"Q001-avg",0.034,0.034,0,0.034,0
1977,"Q001-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1977,"Q003-avg",0.034,0.034,0,0.034,0
1977,"Q003-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1977,"Q007-avg",0.035,0.035,0,0.035,0
1977,"Q007-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1977,"Q015-avg",0.037,0.037,0,0.037,0
1977,"Q015-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1978,"Q001-avg",0.037,0.037,0,0.037,0
1978,"Q001-pp",0.833333333333333,0.8333,3.33333333331076e-05,0.833316666666666,4.00008000157295e-05
1978,"Q003-avg",0.037,0.037,0,0.037,0
1978,"Q003-pp",0.833333333333333,0.8333,3.33333333331076e-05,0.833316666666666,4.00008000157295e-05
1978,"Q007-avg",0.037,0.037,0,0.037,0
1978,"Q007-pp",0.80952380952381,0.8095,2.38095238099811e-05,0.809511904761905,2.94121972387596e-05
1978,"Q015-avg",0.038,0.038,0,0.038,0
1978,"Q015-pp",0.785714285714286,0.7857,1.42857142860775e-05,0.785707142857143,1.81819834730393e-05
1979,"Q001-avg",0.035,0.035,0,0.035,0
1979,"Q001-pp",0.761904761904762,0.7619,4.76190476195182e-06,0.761902380952381,6.2500195313728e-06
1979,"Q003-avg",0.036,0.036,0,0.036,0
1979,"Q003-pp",0.785714285714286,0.7857,1.42857142860775e-05,0.785707142857143,1.81819834730393e-05
1979,"Q007-avg",0.037,0.037,0,0.037,0
1979,"Q007-pp",0.785714285714286,0.7857,1.42857142860775e-05,0.785707142857143,1.81819834730393e-05
1979,"Q015-avg",0.038,0.038,0,0.038,0
1979,"Q015-pp",0.761904761904762,0.7619,4.76190476195182e-06,0.761902380952381,6.2500195313728e-06
1980,"Q001-avg",0.067,0.067,0,0.067,0
1980,"Q001-pp",0.952380952380952,0.9524,-1.90476190479183e-05,0.952390476190476,1.99998000023142e-05
1980,"Q003-avg",0.067,0.067,0,0.067,0
1980,"Q003-pp",0.952380952380952,0.9524,-1.90476190479183e-05,0.952390476190476,1.99998000023142e-05
1980,"Q007-avg",0.069,0.069,0,0.069,0
1980,"Q007-pp",0.952380952380952,0.9524,-1.90476190479183e-05,0.952390476190476,1.99998000023142e-05
1980,"Q015-avg",0.076,0.076,0,0.076,0
1980,"Q015-pp",0.952380952380952,0.9524,-1.90476190479183e-05,0.952390476190476,1.99998000023142e-05
1981,"Q001-avg",0.057,0.057,0,0.057,0
1981,"Q001-pp",0.904761904761905,0.9048,-3.80952380950594e-05,0.904780952380952,4.21043767497657e-05
1981,"Q003-avg",0.058,0.058,0,0.058,0
1981,"Q003-pp",0.904761904761905,0.9048,-3.80952380950594e-05,0.904780952380952,4.21043767497657e-05
1981,"Q007-avg",0.06,0.06,0,0.06,0
1981,"Q007-pp",0.904761904761905,0.9048,-3.80952380950594e-05,0.904780952380952,4.21043767497657e-05
1981,"Q015-avg",0.062,0.062,0,0.062,0
1981,"Q015-pp",0.904761904761905,0.9048,-3.80952380950594e-05,0.904780952380952,4.21043767497657e-05
1982,"Q001-avg",0.005,0.005,0,0.005,0
1982,"Q001-pp",0.119047619047619,0.119,4.76190476189908e-05,0.11902380952381,0.000400080016002724
1982,"Q003-avg",0.006,0.006,0,0.006,0
1982,"Q003-pp",0.119047619047619,0.119,4.76190476189908e-05,0.11902380952381,0.000400080016002724
1982,"Q007-avg",0.006,0.006,0,0.006,0
1982,"Q007-pp",0.142857142857143,0.1429,-4.28571428570113e-05,0.142878571428571,0.000299955006748066
1982,"Q015-avg",0.007,0.007,0,0.007,0
1982,"Q015-pp",0.0952380952380952,0.0952,3.80952380952121e-05,0.0952190476190476,0.000400080016002928
1983,"Q001-avg",0.013,0.013,0,0.013,0
1983,"Q001-pp",0.333333333333333,0.3333,3.33333333329966e-05,0.333316666666666,0.000100005000249002
1983,"Q003-avg",0.013,0.013,0,0.013,0
1983,"Q003-pp",0.380952380952381,0.381,-4.76190476190186e-05,0.38097619047619,0.000124992187988175
1983,"Q007-avg",0.015,0.015,0,0.015,0
1983,"Q007-pp",0.428571428571429,0.4286,-2.85714285709893e-05,0.428585714285714,6.6664444517491e-05
1983,"Q015-avg",0.018,0.018,0,0.018,0
1983,"Q015-pp",0.452380952380952,0.4524,-1.90476190480293e-05,0.452390476190476,4.21043767508701e-05
1984,"Q001-avg",0.021,0.021,0,0.021,0
1984,"Q001-pp",0.714285714285714,0.7143,-1.42857142860775e-05,0.714292857142857,1.99998000025085e-05
1984,"Q003-avg",0.022,0.022,0,0.022,0
1984,"Q003-pp",0.714285714285714,0.7143,-1.42857142860775e-05,0.714292857142857,1.99998000025085e-05
1984,"Q007-avg",0.024,0.024,0,0.024,0
1984,"Q007-pp",0.714285714285714,0.7143,-1.42857142860775e-05,0.714292857142857,1.99998000025085e-05
1984,"Q015-avg",0.026,0.026,0,0.026,0
1984,"Q015-pp",0.714285714285714,0.7143,-1.42857142860775e-05,0.714292857142857,1.99998000025085e-05
1985,"Q001-avg",0.003,0.003,0,0.003,0
1985,"Q001-pp",0.0238095238095238,0.0238,9.52380952380302e-06,0.0238047619047619,0.000400080016002928
1985,"Q003-avg",0.003,0.003,0,0.003,0
1985,"Q003-pp",0.0238095238095238,0.0238,9.52380952380302e-06,0.0238047619047619,0.000400080016002928
1985,"Q007-avg",0.004,0.004,0,0.004,0
1985,"Q007-pp",0.0238095238095238,0.0238,9.52380952380302e-06,0.0238047619047619,0.000400080016002928
1985,"Q015-avg",0.004,0.004,0,0.004,0
1985,"Q015-pp",0.0238095238095238,0.0238,9.52380952380302e-06,0.0238047619047619,0.000400080016002928
1986,"Q001-avg",0.013,0.013,0,0.013,0
1986,"Q001-pp",0.357142857142857,0.3571,4.28571428569557e-05,0.357121428571428,0.000120007200431502
1986,"Q003-avg",0.014,0.014,0,0.014,0
1986,"Q003-pp",0.452380952380952,0.4524,-1.90476190480293e-05,0.452390476190476,4.21043767508701e-05
1986,"Q007-avg",0.015,0.015,0,0.015,0
1986,"Q007-pp",0.452380952380952,0.4524,-1.90476190480293e-05,0.452390476190476,4.21043767508701e-05
1986,"Q015-avg",0.016,0.016,0,0.016,0
1986,"Q015-pp",0.333333333333333,0.3333,3.33333333329966e-05,0.333316666666666,0.000100005000249002
1987,"Q001-avg",0.006,0.006,0,0.006,0
1987,"Q001-pp",0.166666666666667,0.1667,-3.33333333330244e-05,0.166683333333334,0.000199980001997946
1987,"Q003-avg",0.006,0.006,0,0.006,0
1987,"Q003-pp",0.166666666666667,0.1667,-3.33333333330244e-05,0.166683333333334,0.000199980001997946
1987,"Q007-avg",0.007,0.007,0,0.007,0
1987,"Q007-pp",0.166666666666667,0.1667,-3.33333333330244e-05,0.166683333333334,0.000199980001997946
1987,"Q015-avg",0.007,0.007,0,0.007,0
1987,"Q015-pp",0.166666666666667,0.1667,-3.33333333330244e-05,0.166683333333334,0.000199980001997946
1988,"Q001-avg",0.017,0.017,0,0.017,0
1988,"Q001-pp",0.547619047619048,0.5476,1.90476190480293e-05,0.547609523809524,3.47832136218556e-05
1988,"Q003-avg",0.017,0.017,0,0.017,0
1988,"Q003-pp",0.547619047619048,0.5476,1.90476190480293e-05,0.547609523809524,3.47832136218556e-05
1988,"Q007-avg",0.018,0.018,0,0.018,0
1988,"Q007-pp",0.5,0.5,0,0.5,0
1988,"Q015-avg",0.019,0.019,0,0.019,0
1988,"Q015-pp",0.476190476190476,0.4762,-9.52380952395915e-06,0.476195238095238,1.99998000023142e-05
1989,"Q001-avg",0.019,0.019,0,0.019,0
1989,"Q001-pp",0.619047619047619,0.619,4.76190476189631e-05,0.619023809523809,7.69260356166179e-05
1989,"Q003-avg",0.02,0.02,0,0.02,0
1989,"Q003-pp",0.666666666666667,0.6667,-3.33333333331076e-05,0.666683333333334,4.99987500309106e-05
1989,"Q007-avg",0.022,0.022,0,0.022,0
1989,"Q007-pp",0.69047619047619,0.6905,-2.38095238099811e-05,0.690488095238095,3.44821641012813e-05
1989,"Q015-avg",0.023,0.023,0,0.023,0
1989,"Q015-pp",0.666666666666667,0.6667,-3.33333333331076e-05,0.666683333333334,4.99987500309106e-05
1990,"Q001-avg",0.019,0.019,0,0.019,0
1990,"Q001-pp",0.642857142857143,0.6429,-4.28571428570113e-05,0.642878571428572,6.66644445183113e-05
1990,"Q003-avg",0.019,0.019,0,0.019,0
1990,"Q003-pp",0.619047619047619,0.619,4.76190476189631e-05,0.619023809523809,7.69260356166179e-05
1990,"Q007-avg",0.02,0.02,0,0.02,0
1990,"Q007-pp",0.619047619047619,0.619,4.76190476189631e-05,0.619023809523809,7.69260356166179e-05
1990,"Q015-avg",0.021,0.021,0,0.021,0
1990,"Q015-pp",0.571428571428571,0.5714,2.85714285709338e-05,0.571414285714285,5.00012500303849e-05
1991,"Q001-avg",0.011,0.011,0,0.011,0
1991,"Q001-pp",0.214285714285714,0.2143,-1.42857142859942e-05,0.214292857142857,6.66644445198225e-05
1991,"Q003-avg",0.012,0.012,0,0.012,0
1991,"Q003-pp",0.261904761904762,0.2619,4.76190476195182e-06,0.261902380952381,1.81819834727567e-05
1991,"Q007-avg",0.013,0.013,0,0.013,0
1991,"Q007-pp",0.333333333333333,0.3333,3.33333333329966e-05,0.333316666666666,0.000100005000249002
1991,"Q015-avg",0.017,0.017,0,0.017,0
1991,"Q015-pp",0.428571428571429,0.4286,-2.85714285709893e-05,0.428585714285714,6.6664444517491e-05
